element_id,node_ids,ai_severity,primary_action,confidence
56,"22412,21356,40,20745",MEDIUM,Remesh area,0.5942302175426686
44069,"20431,20424,20425,22050",LOW,Accept mesh,0.47
44071,"21640,5,15,20431",HIGH,Fix connectivity,0.95
44073,"21619,20424,20431,21823",LOW,Fix connectivity,0.95
44079,"22059,22024,21833,20327",MEDIUM,Remesh area,0.6038272631616208
44084,"22024,21832,20321,22059",HIGH,Remesh area,0.6530490372961827
44088,"1968,21825,22024,22059",LOW,Accept mesh,0.49
44092,"22024,22059,18746,21827",LOW,Accept mesh,0.45
44095,"21935,21932,21933,21934",LOW,Accept mesh,0.28
44108,"21937,21986,21666,21903",LOW,Accept mesh,0.33
44109,"21903,21905,21939,21937",LOW,Accept mesh,0.32
44116,"21839,7,21947,21920",LOW,Add node,0.6300208003675762
44119,"7,21839,21844,21847",LOW,Fix connectivity,0.95
44120,"22018,21852,21174,21974",LOW,Accept mesh,0.48
44124,"21923,21861,22018,21974",HIGH,Remesh area,0.631902769658798
44127,"21922,64,21848,21921",LOW,Add node,0.6290826100854825
44128,"64,21841,21849,21848",HIGH,Fix connectivity,0.95
44131,"21919,21929,21842,21912",LOW,Accept mesh,0.31
44132,"21843,21845,21929,21919",LOW,Accept mesh,0.32
44134,"22018,21974,21324,21860",LOW,Accept mesh,0.42
44136,"21368,21919,21929,21362",LOW,Accept mesh,0.39
44141,"22101,22125,22099,21",LOW,Project to CAD,0.6924117988103445
44142,"21,21415,21616,22101",LOW,Project to CAD,0.6830684224031849
44146,"34,22092,21381,21373",LOW,Project to CAD,0.5350472079263001
44148,"21408,1968,22093,30",LOW,Project to CAD,0.6807825132540553
44149,"22107,20327,21408,21390",LOW,Project to CAD,0.5976407305144662
44151,"32,17,3,21443",LOW,Fix connectivity,0.95
44152,"21390,21388,22098,22107",LOW,Accept mesh,0.4
44153,"41,22098,21,22099",LOW,Project to CAD,0.5704211658531855
44156,"22075,21371,21381,22092",LOW,Accept mesh,0.46
44168,"1968,18746,22121,22093",LOW,Accept mesh,0.36
44175,"16961,21369,21371,22075",HIGH,Remesh area,0.6442200621115063
44176,"21418,21637,22101,32",HIGH,Fix connectivity,0.95
44184,"3852,22075,22092,21936",LOW,Accept mesh,0.43
44190,"22092,34,21935,21936",LOW,Accept mesh,0.34
44192,"22099,20428,22116,41",LOW,Project to CAD,0.6468638898671393
44203,"20321,22162,18746,22059",LOW,Accept mesh,0.31
44207,"22107,41,22116,20321",LOW,Project to CAD,0.5765127291929897
44209,"22154,21370,21369,16961",LOW,Project to CAD,0.6911630647769692
44213,"22154,22183,21916,21370",MEDIUM,Project to CAD,0.7139359044303336
44215,"20428,22165,22156,22116",LOW,Accept mesh,0.42
44216,"21935,22093,22121,21932",LOW,Accept mesh,0.42
44233,"20428,22099,20425,22050",LOW,Accept mesh,0.4
44236,"21637,62,20425,22125",MEDIUM,Fix connectivity,0.95
44240,"21934,19,22153,3852",LOW,Accept mesh,0.32
44242,"22153,22163,22154,16961",LOW,Accept mesh,0.38
44247,"21916,22183,21362,58",MEDIUM,Project to CAD,0.7033856028722161
44255,"19,21934,21933,22173",LOW,Accept mesh,0.27
44261,"20321,22116,22156,22162",LOW,Accept mesh,0.35
44269,"22173,22188,22163,19",LOW,Project to CAD,0.5121316664357316
44270,"27,22178,22184,22166",LOW,Project to CAD,0.5494514308083529
44271,"22121,23,22178,27",LOW,Project to CAD,0.5484611186688675
44273,"22156,22165,22189,22170",LOW,Project to CAD,0.5610172018628335
44279,"22162,22156,22170,23",LOW,Project to CAD,0.5248457140187539
44288,"22170,22189,22200,22186",LOW,Project to CAD,0.5789482506958813
44291,"22189,22165,20528,22202",LOW,Project to CAD,0.6132068256432772
44292,"22173,22166,22181,22188",LOW,Project to CAD,0.5589854812831655
44296,"22183,22163,22188,21367",LOW,Project to CAD,0.6837643670449237
44298,"22184,22178,22186,22201",LOW,Project to CAD,0.5619193189993181
44303,"22181,22166,22184,22211",LOW,Project to CAD,0.6017392922441246
44304,"20528,21678,21675,22202",LOW,Project to CAD,0.6731123217488219
44305,"22189,22202,22212,22200",LOW,Project to CAD,0.6067680586505207
44309,"21367,21947,21362,22183",HIGH,Add node,0.6771389905042892
44317,"58,21362,21368,21911",LOW,Accept mesh,0.44
44318,"21675,21649,22212,22202",LOW,Project to CAD,0.6545190276176106
44319,"21920,21368,21362,21947",MEDIUM,Remesh area,0.6146674681914243
44323,"21921,21947,21367,22221",MEDIUM,Add node,0.6758879740411377
44325,"22221,21367,22188,22181",LOW,Accept mesh,0.46
44327,"22228,22211,22184,22201",LOW,Project to CAD,0.5994235278228193
44329,"22201,22186,22200,22227",LOW,Project to CAD,0.5969029670137516
44336,"22237,22221,22181,22211",LOW,Project to CAD,0.5733464627295581
44340,"21652,22239,22212,21649",LOW,Project to CAD,0.6554540544022007
44341,"22200,22212,22239,22227",LOW,Project to CAD,0.6309230500149273
44344,"21368,22224,21914,21911",LOW,Project to CAD,0.5832929158184674
44345,"22241,22228,22201,22227",LOW,Project to CAD,0.6075542951995353
44351,"22246,21921,22221,22237",LOW,Project to CAD,0.5904521504146392
44357,"22237,22211,22228,22255",LOW,Project to CAD,0.5483572407490485
44359,"22227,22239,22247,22241",LOW,Project to CAD,0.674254076716624
44364,"22239,21652,21663,22247",LOW,Project to CAD,0.6432986334978398
44371,"22257,21915,21914,22224",LOW,Project to CAD,0.5461775783831153
44372,"22224,21920,22258,22257",LOW,Project to CAD,0.6051173201042702
44378,"22269,22255,22228,22241",LOW,Project to CAD,0.5779086632347911
44381,"22246,21923,21922,21921",MEDIUM,Remesh area,0.593102613464709
44391,"22241,22247,22273,22269",LOW,Project to CAD,0.6543230253054249
44407,"22257,22282,21906,21915",LOW,Project to CAD,0.5434450284873236
44410,"21986,22247,21663,21666",LOW,Project to CAD,0.5930894962747846
44411,"22269,22273,46,44",LOW,Project to CAD,0.527325506921402
44412,"21272,44,21174,21974",LOW,Accept mesh,0.31
44413,"22258,22285,22282,22257",LOW,Project to CAD,0.5426457987575577
44414,"22294,22285,22258,21922",LOW,Project to CAD,0.6179345235110212
44416,"21324,22294,21923,21974",LOW,Accept mesh,0.33
44420,"46,22273,21986,21937",LOW,Project to CAD,0.49353650387197223
44430,"22299,21908,21906,22282",LOW,Project to CAD,0.5326822672252768
44431,"22285,13,22299,22282",LOW,Project to CAD,0.5493093024667222
44439,"22284,46,21937,21939",LOW,Project to CAD,0.5243050363876882
44442,"13,22285,22294,22311",LOW,Project to CAD,0.6304666053507592
44461,"22333,20673,22345,54",LOW,Project to CAD,0.520354210995402
44481,"54,22345,50,52",LOW,Project to CAD,0.48741535634644517
44505,"20673,22333,21361,22412",LOW,Project to CAD,0.5745486164545299
44512,"21324,36,21351,22311",LOW,Accept mesh,0.44
44533,"38,21939,21905,21902",LOW,Accept mesh,0.48
44538,"21907,50,22345,20532",LOW,Project to CAD,0.48444812807901105
44562,"20532,20747,21885,21907",LOW,Fix connectivity,0.95
44569,"21361,21965,21356,22412",LOW,Accept mesh,0.39
44573,"21121,22411,21356,21965",LOW,Accept mesh,0.38
44581,"21016,22411,21121,22366",LOW,Project to CAD,0.4922969318668404
44590,"22434,20747,22015,20745",LOW,Accept mesh,0.32
44592,"20925,40,21356,22411",LOW,Add node,0.5483260373463452
44600,"20925,22411,21016,21992",LOW,Accept mesh,0.41
44606,"21016,21899,21900,21992",LOW,Accept mesh,0.35
44609,"21917,40,20925,20793",LOW,Accept mesh,0.49
44614,"21992,21900,21901,20793",LOW,Accept mesh,0.33
44623,"21998,22436,56,21917",LOW,Add node,0.51986072948104
44624,"21882,20747,22434,20875",LOW,Accept mesh,0.42
44629,"20793,21901,21898,21917",LOW,Accept mesh,0.45
44637,"21918,20923,21993,22436",LOW,Accept mesh,0.45
44638,"21998,21898,21896,21918",LOW,Project to CAD,0.6236834034295581
44639,"21993,20923,21892,21890",LOW,Accept mesh,0.38
44642,"21918,21896,21897,22438",LOW,Project to CAD,0.6541080654641833
44643,"21893,21892,20923,22438",LOW,Accept mesh,0.38
44645,"22438,21897,21895,21893",LOW,Accept mesh,0.49
44651,"21857,21855,21121,21965",MEDIUM,Remesh area,0.6154645104304517
44656,"21857,21965,21361,21858",HIGH,Remesh area,0.634451946656003
44659,"21865,21928,21927,21869",LOW,Fix connectivity,0.95
44660,"21927,21928,21016,21992",LOW,Accept mesh,0.35
44663,"21965,21356,21881,21857",MEDIUM,Remesh area,0.6225306401849836
44669,"20535,20673,22015,22013",LOW,Accept mesh,0.41
44671,"22013,21877,21880,20535",LOW,Accept mesh,0.29
44674,"20675,20745,22015,22013",LOW,Accept mesh,0.39
44681,"20532,21879,22013,22015",LOW,Accept mesh,0.39
44682,"21879,21878,21877,22013",LOW,Accept mesh,0.3
44683,"21871,21870,21925,21930",MEDIUM,Fix connectivity,0.95
44685,"21998,21930,21925,21917",LOW,Add node,0.4760037726286362
44686,"21930,21998,21918,21924",LOW,Add node,0.5019947278651691
44687,"20747,21875,22013,22015",LOW,Accept mesh,0.37
44689,"21875,21874,21877,22013",LOW,Accept mesh,0.29
44694,"20875,21866,60,21993",LOW,Accept mesh,0.29
44697,"60,21866,21867,48",LOW,Accept mesh,0.3
